대학ID,학년도,제목,파일
98,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255229&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000126&searchSyr=2027
99,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255016&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000127&searchSyr=2027
100,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256911&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000205&searchSyr=2027
101,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242932&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000128&searchSyr=2027
102,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255105&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000129&searchSyr=2027
103,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257611&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000131&searchSyr=2027
104,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257627&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000132&searchSyr=2027
105,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256732&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000133&searchSyr=2027
106,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242955&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000136&searchSyr=2027
107,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000251737&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000137&searchSyr=2027
108,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257391&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000138&searchSyr=2027
109,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242922&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000092&searchSyr=2027
110,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257444&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000243&searchSyr=2027
111,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256354&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000139&searchSyr=2027
112,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243043&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000140&searchSyr=2027
113,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257529&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000141&searchSyr=2027
114,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256618&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000142&searchSyr=2027
115,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257930&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000143&searchSyr=2027
116,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242935&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000065&searchSyr=2027
117,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257624&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000144&searchSyr=2027
118,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257410&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0002712&searchSyr=2027
119,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242967&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000145&searchSyr=2027
120,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257290&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000146&searchSyr=2027
121,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257836&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000147&searchSyr=2027
122,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242991&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000149&searchSyr=2027
123,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242927&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000150&searchSyr=2027
124,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243058&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000151&searchSyr=2027
125,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257933&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000153&searchSyr=2027
126,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257062&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0003193&searchSyr=2027
127,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256222&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000155&searchSyr=2027
